boringScore,gamePk,scoreHome,scoreAway,scoreDiff,totalRuns,totalHits,lateRuns,lastRunInning,leadChanges,deadAirInnings,totalLOB,pitchersUsed,moundVisits,reviews,durationScore,numInnings,attendanceScore,badTeamsPenalty,winPctHome,winPctAway,seasonProgress,reason
18,745234,1,4,3,5,11,0,6,1,9,11,9,1,0,-1,9,-5,1.82,0.534,0.64,0.543,
15,745235,4,5,1,9,17,7,9,1,7,16,10,7,0,8,9,-5,2.82,0.538,0.456,0.562,
15,745236,7,3,4,10,17,6,8,2,9,9,8,4,0,4,9,-3,1.86,0.539,0.632,0.549,
24,745237,2,1,1,3,10,0,6,1,10,14,8,3,1,-1,9,-4,2.79,0.544,0.449,0.556,
9,745238,3,2,1,5,11,2,10,3,9,14,10,4,1,0,10,-8,2.06,0.56,0.549,0.519,
15,745239,1,5,4,6,16,0,6,2,7,10,9,5,0,6,9,-4,2.09,0.553,0.554,0.525,
16,745240,0,2,2,2,11,1,7,1,10,14,8,3,1,3,9,-4,1.8,0.54,0.635,0.537,
10,745241,7,5,2,12,16,7,9,0,9,14,9,5,0,5,9,-7,2.03,0.575,0.471,0.451,
15,745242,5,0,5,5,8,3,8,1,11,8,6,3,1,-4,9,-8,2.05,0.581,0.465,0.457,
19,745243,3,5,2,8,17,3,8,1,10,15,11,3,1,6,9,-3,2.12,0.547,0.56,0.531,
15,745244,4,3,1,7,15,2,7,2,9,14,10,5,0,1,9,2,2.78,0.565,0.25,0.426,
21,745245,2,3,1,5,11,2,10,2,10,12,8,4,1,0,10,0,2.85,0.563,0.257,0.438,
23,745246,2,1,1,3,9,3,10,2,11,11,9,3,0,0,10,1,2.8,0.571,0.246,0.432,
14,745247,3,2,1,5,13,0,3,1,8,12,6,1,0,-2,9,-7,2.0,0.569,0.478,0.444,
17,745248,8,4,4,12,20,10,9,2,7,15,7,6,0,4,9,1,2.76,0.559,0.254,0.42,
22,745249,0,4,4,4,13,0,6,1,10,12,6,4,0,-2,9,0,1.87,0.534,0.439,0.358,
23,745250,2,1,1,3,11,1,10,2,11,14,10,8,0,0,10,0,1.83,0.544,0.429,0.352,
19,745251,9,0,9,9,15,0,6,1,8,13,8,4,1,6,9,-6,2.13,0.55,0.362,0.37,
21,745252,5,1,4,6,9,5,9,1,8,15,8,5,0,3,9,-4,2.15,0.557,0.356,0.377,
3,745253,5,4,1,9,16,5,8,1,8,9,8,5,0,1,9,-6,2.11,0.542,0.368,0.364,
30,745254,3,2,1,5,12,0,5,0,12,14,7,5,0,0,9,0,1.79,0.527,0.444,0.34,
-1,745255,8,4,4,12,17,2,8,0,6,7,8,2,1,-4,9,-7,1.32,0.537,0.452,0.259,
22,745256,6,2,4,8,17,4,8,1,9,13,7,1,2,1,9,4,1.01,0.548,0.581,0.265,
4,745257,2,4,2,6,12,5,9,2,7,8,7,3,0,0,9,2,1.03,0.535,0.591,0.272,
6,745258,4,2,2,6,12,3,8,2,9,9,7,5,0,-5,9,3,1.81,0.536,0.436,0.346,
19,745259,4,2,2,6,15,3,8,1,7,11,10,4,3,9,9,1,1.07,0.545,0.578,0.278,
10,745260,3,2,1,5,13,2,8,1,9,14,6,4,1,-5,9,1,0.51,0.567,0.679,0.185,
21,745261,2,5,3,7,16,1,7,1,10,18,10,4,0,1,9,1,0.54,0.548,0.69,0.191,
9,745262,1,8,7,9,12,6,9,2,10,7,9,4,0,-3,9,-3,1.29,0.525,0.463,0.253,
16,745263,2,1,1,3,7,3,9,2,14,7,7,1,1,0,9,-1,0.47,0.552,0.704,0.179,
15,745264,8,1,7,9,18,2,9,1,8,16,9,2,0,5,9,-6,1.25,0.538,0.45,0.247,
8,745265,2,3,1,5,11,2,8,2,9,8,8,5,1,-1,9,-3,0.92,0.536,0.448,0.179,
8,745266,3,1,2,4,7,3,8,1,12,7,7,3,0,-5,9,-6,0.88,0.556,0.429,0.173,
21,745267,5,1,4,6,8,3,7,1,12,10,7,3,0,-3,9,3,0.62,0.474,0.5,0.117,
14,745268,9,3,6,12,17,4,7,0,7,9,7,5,0,0,9,4,0.54,0.412,0.563,0.105,
10,745269,6,1,5,7,8,0,6,0,11,5,6,5,0,-7,9,-4,0.86,0.538,0.444,0.167,
35,745270,3,1,2,4,12,0,6,1,10,18,9,4,1,7,9,3,0.58,0.444,0.529,0.111,
18,745271,2,3,1,5,13,0,6,0,8,8,9,2,1,2,9,-3,0.49,0.375,0.6,0.099,
11,745272,1,4,3,5,12,2,8,1,8,11,8,3,0,-2,9,-5,0.48,0.4,0.571,0.093,
5,745273,2,5,3,7,21,3,7,1,4,15,9,0,0,-1,9,2,0.12,0.5,0.667,0.037,
8,745274,4,2,2,6,10,2,9,1,8,13,7,2,0,2,9,-3,0.46,0.429,0.538,0.086,
15,745275,0,8,8,8,16,0,4,0,9,14,8,2,1,-3,9,1,0.14,0.429,0.714,0.043,
13,745276,1,0,1,1,8,0,6,1,11,12,6,5,0,-2,9,-2,0.06,0.5,0.5,0.012,
14,745277,5,4,1,9,13,1,8,1,10,12,10,5,1,2,9,1,0.1,0.6,0.6,0.031,
14,745278,4,3,1,7,14,5,10,1,12,14,11,7,1,0,10,-3,0.08,0.667,0.333,0.019,
12,745279,1,5,4,6,14,0,6,1,9,11,8,3,0,1,9,-2,0.12,0.5,0.5,0.025,
20,745280,3,6,3,9,22,0,4,2,5,19,10,4,1,5,9,-4,4.87,0.494,0.513,0.988,
13,745281,6,5,1,11,24,4,8,1,6,20,11,4,0,7,9,-5,4.91,0.497,0.509,0.994,
23,745282,1,6,5,7,14,1,7,1,9,11,6,3,1,0,9,-3,4.94,0.494,0.512,1.0,
-1,745283,4,6,2,10,19,3,8,1,6,12,9,4,1,5,9,-8,0.0,0.0,1.0,0.006,
23,745284,0,8,8,8,22,3,8,0,6,19,8,2,1,1,9,-2,4.15,0.483,0.564,0.92,
20,745285,13,2,11,15,24,3,8,0,6,16,7,5,0,2,9,1,3.91,0.493,0.572,0.901,
26,745286,0,5,5,5,16,1,9,0,8,14,9,1,1,1,9,-6,4.12,0.486,0.561,0.914,
22,745287,3,4,1,7,10,5,10,2,12,9,13,1,1,0,10,-3,4.17,0.48,0.567,0.926,
31,745288,0,3,3,3,9,3,8,1,9,11,8,3,0,-1,9,1,3.93,0.49,0.575,0.907,
24,745289,3,2,1,5,13,1,9,1,8,16,9,2,1,2,9,-1,3.91,0.489,0.56,0.87,
27,745290,4,6,2,10,11,7,9,0,9,13,8,4,0,4,9,1,3.87,0.486,0.564,0.864,
21,745291,2,3,1,5,13,0,6,0,8,10,8,4,1,-8,9,0,3.87,0.49,0.576,0.895,
15,745292,5,7,2,12,16,1,7,1,9,9,10,4,2,3,9,-6,5.42,0.493,0.372,0.852,
13,745293,7,8,1,15,22,6,9,0,4,15,8,4,0,6,9,1,3.85,0.489,0.561,0.858,
